id,display_name,works_count,type,alternate_titles
S2764974331,Journal of Materials Science and Chemical Engineering,694,journal,MSCE
S2765055766,Polymeric Materials Science & Cngineering,824,journal,
S2764786285,KnE Materials Science,392,journal,Knowledge E materials science
S4210168249,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",1076,journal,
S2764608139,International Journal of Materials Science and Applications,361,journal,International journal of materials science & applications
S2765006182,Materials Science: An Indian Journal,813,journal,
S167708079,Materialwissenschaft Und Werkstofftechnik,8704,journal,Materials science and engineering technology (Print)
S2737323092,Indian Journal of Materials Science,93,journal,
S4210215262,Research & development in materials science,488,journal,RDMS
S2764910192,Materials Science and Engineering of Powder Metallurgy,980,journal,
S2764990209,Journal of Science: Advanced Materials and Devices,535,journal,Journal of science: Advanced materials and devices
S4306509371,Encyclopedia of Materials: Science and Technology (Second Edition),619,journal,
S2764446333,journal of the Japan Society for Testing Materials,12376,journal,"Journal of the Society of Materials Science, Kyoto"
S4210192079,Science and engineering of composite materials,1405,journal,
S4210201837,Journal of materials science and engineering,444,journal,Journal of materials science and engineering.
S159848557,Research Letters in Materials Science,70,journal,
S4210174694,Series in materials science and engineering,317,journal,Materials science and engineering
S2764374927,International Journal of Computational Materials Science and Engineering,334,journal,IJCMSE
S4210196967,Materials science foundations,86,journal,
S86892209,International Journal of Computational Materials Science and Surface Engineering,329,journal,IJCMSSE
S4210204497,ACS Materials Science Au,120,journal,
S2764553171,Iranian Journal of Materials Science and Engineering,439,journal,IJMSE
S4210195386,Journal of materials science and engineering,270,journal,Structural materials
S36114782,"Journal of The Society of Materials Science, Japan",444,journal,
S4210198483,Materials science & technology,50,journal,CRC series in materials science and technology
S4210188192,Universal journal of materials science,115,journal,
S4210222006,International journal of materials science and engineering,175,journal,IJMSE
S4306513157,Indonesian Journal of Materials Science,308,journal,
S2764782200,Journal of Wuhan University of Technology,14016,journal,Journal of Wuhan University of Technology.
S4210223925,SOJ materials science & engineering,85,journal,SOJ materials science and engineering
S2764728296,Journal of Metallurgy and Materials Science,309,journal,
S4210187285,Journal of Chemical Engineering and Materials Science,67,journal,
S4210232467,Asian journal of materials science,44,journal,
S2764380960,Archives of Materials Science,122,journal,Archives of Materials Science
